city,adcode,province,reporttime,date,dayweather,week,nightweather,daytemp,nighttemp,daywind,nightwind,daypower,nightpower,daytemp_float,nighttemp_float
北京市,110000,北京,2024-04-29 13:33:21,2024-04-29,小雨,1,多云,15,9,北,北,1-3,1-3,15.0,9.0
北京市,110000,北京,2024-05-02 13:33:28,2024-05-02,晴,4,晴,28,13,西南,西南,1-3,1-3,28.0,13.0
北京市,110000,北京,2024-04-29 19:33:22,2024-04-29,小雨,1,多云,15,7,北,北,1-3,1-3,15.0,7.0
北京市,110000,北京,2024-05-02 19:33:20,2024-05-02,晴,4,晴,28,13,西南,西南,1-3,1-3,28.0,13.0
北京市,110000,北京,2024-05-09 08:38:34,2024-05-10,小雨,5,多云,28,16,北,北,1-3,1-3,28.0,16.0
北京市,110000,北京,2024-05-03 13:33:31,2024-05-03,晴,5,多云,28,14,西南,西南,1-3,1-3,28.0,14.0
北京市,110000,北京,2024-04-27 13:33:38,2024-04-27,小雨,6,小雨,24,15,东,东,1-3,1-3,24.0,15.0
北京市,110000,北京,2024-05-08 19:33:24,2024-05-08,晴,3,晴,30,16,西南,西南,1-3,1-3,30.0,16.0
北京市,110000,北京,2024-05-03 19:33:19,2024-05-03,晴,5,多云,27,14,东南,东南,1-3,1-3,27.0,14.0
北京市,110000,北京,2024-04-27 19:33:26,2024-04-27,小雨,6,小雨,24,15,东,东,1-3,1-3,24.0,15.0
北京市,110000,北京,2024-04-25 19:33:26,2024-04-25,晴,4,晴,28,15,东南,东南,1-3,1-3,28.0,15.0
北京市,110000,北京,2024-05-05 13:33:27,2024-05-05,小雨,7,小雨,22,15,西南,西南,1-3,1-3,22.0,15.0
北京市,110000,北京,2024-05-04 13:33:29,2024-05-04,多云,6,多云,22,14,南,南,1-3,1-3,22.0,14.0
北京市,110000,北京,2024-05-05 19:33:20,2024-05-05,小雨,7,小雨,22,15,南,南,1-3,1-3,22.0,15.0
北京市,110000,北京,2024-05-07 13:33:28,2024-05-07,晴,2,晴,28,13,西,西,1-3,1-3,28.0,13.0
北京市,110000,北京,2024-05-06 13:33:27,2024-05-06,多云,1,晴,26,14,东北,东北,1-3,1-3,26.0,14.0
北京市,110000,北京,2024-05-04 19:33:15,2024-05-04,多云,6,阴,22,14,南,南,1-3,1-3,22.0,14.0
北京市,110000,北京,2024-05-01 13:33:25,2024-05-01,晴,3,晴,28,11,西南,西南,1-3,1-3,28.0,11.0
北京市,110000,北京,2024-05-07 19:33:13,2024-05-07,晴,2,晴,28,13,西,西,1-3,1-3,28.0,13.0
北京市,110000,北京,2024-05-06 19:33:22,2024-05-06,晴,1,晴,26,14,东北,东北,1-3,1-3,26.0,14.0
北京市,110000,北京,2024-05-08 19:33:24,2024-05-09,晴,4,多云,30,18,南,南,1-3,1-3,30.0,18.0
北京市,110000,北京,2024-04-28 19:33:25,2024-04-28,小雨,7,小雨,17,11,东北,东北,1-3,1-3,17.0,11.0
北京市,110000,北京,2024-05-09 08:38:34,2024-05-09,晴,4,多云,30,19,南,南,1-3,1-3,30.0,19.0
北京市,110000,北京,2024-04-30 13:33:28,2024-04-30,晴,2,晴,25,8,西南,西南,1-3,1-3,25.0,8.0
北京市,110000,北京,2024-05-08 19:33:24,2024-05-11,晴,6,晴,27,15,西北,西北,1-3,1-3,27.0,15.0
北京市,110000,北京,2024-04-30 19:33:20,2024-04-30,晴,2,晴,25,9,西南,西南,1-3,1-3,25.0,9.0
北京市,110000,北京,2024-05-09 08:38:34,2024-05-11,晴,6,晴,27,15,西北,西北,1-3,1-3,27.0,15.0
北京市,110000,北京,2024-04-26 19:33:24,2024-04-26,小雨,5,多云,27,16,东南,东南,1-3,1-3,27.0,16.0
北京市,110000,北京,2024-05-08 13:33:27,2024-05-08,晴,3,晴,30,16,西南,西南,1-3,1-3,30.0,16.0
北京市,110000,北京,2024-05-09 08:38:34,2024-05-12,晴,7,晴,29,14,西南,西南,1-3,1-3,29.0,14.0
北京市,110000,北京,2024-05-01 19:33:27,2024-05-01,晴,3,晴,28,11,西,西,1-3,1-3,28.0,11.0
